"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-27 01:49:58",50,5.30999994,56,4020,6.03999996,59,4339,19.140000763,0.01,5.18750010291667,5.47250006175,3.73333336658333,1.80250001616667,1.93083335041667,170.54399109,10.05000019,9.876999854,0,14.60000038,0,9.430000304,9.982999897,0.924166697,14.271666749,0,781,3.06999993,0.0581,0,6.4000001,58,3948,0,202.68196106,2.864999895,0
"2017-01-27 01:59:55",50,5.30999994,56,4018,6.02999973,59,4703,8.840000172,0.01,5.80084046546219,4.91596645042017,3.73277312647059,2.00924370504202,1.72352942142857,170.54399109,9.720000076,9.874999715,0,14.60000038,0,9.600000095,9.985999774,0.926890785546219,14.2621849202521,0,779,3.06999993,0.058,0,6.4000001,58,4430,0,202.68196106,2.8599999,0
"2017-01-27 02:09:58",50,5.25,56,4176,6.01999998,59,4636,0.1,14.190000114,4.92416679016667,5.69166672208333,3.750833351,1.72333334108333,1.99666667616667,170.54399109,9.660000038,9.869999695,0,14.60000038,0,9.85000038,9.983999728,0.915833367,14.256666692,0,780,3.06999993,0.0582,0,6.4000001,58,4236,0,202.68196106,2.8599999,0
"2017-01-27 02:19:55",50,5.21999979,56,4108,6.05999994,59,4639,0.1,9.700000238,5.57563035588235,5.06806728596639,3.73025212890756,1.94789917176471,1.78235295714286,235.035416931176,9.780000209,9.828999804,2.31680674218487,14.2890757228571,0.0621848739495798,10.080000304,9.937999822,2.40252101991597,14.066386487563,0.178991602268908,781,3.07999992,0.0582,0,6.4000001,58,4178,19.720000076,120.17486128916,2.75399995,0.429411775882353
"2017-01-27 02:29:57",49,5.5999999,56,4197,5.85999966,59,4711,15.810000229,0,5.37750011241667,5.32500001583333,3.7258333575,1.866666675,1.8591666825,251.32798767,9.689999962,9.866999816,2.93083336258333,14.2033333539167,0.0808333333333333,10.069999886,9.982999897,2.9041666675,13.9708332225,0.245833341333333,782,3.12999988,0.0413,0,6.5999999,58,3979,0,202.80215454,2.732000018,0
"2017-01-27 02:39:59",49,5.6500001,56,4322,5.76999998,59,4761,14.340000343,0.02,5.01583346475,5.572500038,3.73083335666667,1.74166667708333,1.95750001333333,251.32798767,9.679999924,9.866999817,2.95166667766667,14.1325000126667,0.0866666666666667,10.140000057,9.979999828,2.93750000191667,13.8166665241667,0.273333342083333,780,3.11999989,0.0417,0,6.5,58,3922,0,202.80215454,2.821999929,0
"2017-01-27 02:49:56",49,5.62999964,56,4358,5.67999983,59,4752,0.1,14.570000266,5.87226904487395,4.82016813428571,3.73781513823529,2.04369748361345,1.69411765462185,251.32798767,9.620000076,9.861999799,2.90252102613445,14.1285714461345,0.0848739495798319,9.980000209,9.984999751,2.93193277823529,13.9344536761345,0.251260512184874,781,3.07999992,0.039,0,6.5,58,3953,0,202.80215454,2.860999899,0
"2017-01-27 02:59:58",49,5.62999964,56,4285,5.61999989,59,4844,0.1,9.230000114,5.00666673158333,5.61666672208333,3.74250000958333,1.75249999958333,1.95833334375,251.32798767,9.520000266,9.858999826,2.93000003091667,14.2033333618333,0.08,9.470000361,9.976999663,2.93750000366667,13.960833232,0.249166674666667,782,3.01999998,0.0367,0,6.5,58,4398,0,202.80215454,2.8599999,0
"2017-01-27 03:09:55",50,5.61999989,56,4403,5.50999975,59,4936,16.36000042,0.01,5.38151269764706,5.18655466815126,3.75126052369748,1.89159665235294,1.82773109865546,251.32798767,9.540000247,9.865999699,0.87226891697479,14.4857144789076,0.0218487394957983,9.380000399,9.990999793,0.922689076722689,14.2352942852941,0.0781512631092437,782,3.12999988,0.0332,0,6.5,58,4173,0,202.80215454,2.8589999,0
"2017-01-27 03:19:57",50,5.65999985,56,4409,5.46000004,59,4743,9.770000076,0.09,5.24500007525,5.52250008475,3.70416671208333,3.08416670708333,3.17500004333333,281.958597945417,10.05,9.821999646,2.48666670216667,14.2908335755833,0.142500003666667,9.85000038,9.936999703,2.32916673458333,14.10250012825,0.252500000333333,779,3.06999993,0.0441,0,6.4000001,58,4111,21.030000494,119.800242969083,2.739999938,0.346666685666667
