"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-17 01:49:58",56,5.26999998,58,3940,6.05999994,61,4117,0.1,22.540000152,5.85333344891667,4.72916684083333,3.72333336,2.02750000375,1.69583335625,121.1760025,10.239999962,9.881999684,0,12.40000057,1.70000005,9.970000171,10.006999777,0,13.60000038,0.40000001,808,3.05999994,0.0123,7.5999999,6.5,67,4267,0,152.62004089,2.836999913,0
"2017-01-17 01:59:55",57,5.25,58,3953,6.03999996,61,4097,3.560000076,0,5.01092447512605,5.57310948957983,3.73529415310924,1.73613445915966,1.99915969394958,121.1760025,10.229999924,9.875999739,0,12.40000057,1.70000005,10.010000133,10.002999781,0,13.60000038,0.40000001,808,3.05999994,0.0116,7.5999999,6.5,67,4290,0,152.62004089,2.83999991,0
"2017-01-17 02:09:56",56,5.26999998,58,3699,6.04999971,61,4187,24.020000515,0,5.58916684716667,4.98750019791667,3.72416670283333,1.9250000125,1.79916669033333,121.1760025,10.390000152,9.872999764,0,12.40000057,1.70000005,9.110000228,10.002999973,0,13.60000038,0.40000001,808,3.05999994,0.0122,7.5999999,6.5,67,4675,0,152.62004089,2.838999911,0
"2017-01-17 02:19:58",56,5.23000002,58,4086,6.03999996,61,3968,0.1,2.590000114,5.51000011716667,5.09583357875,3.715000035,1.89583334375,1.81916669125,121.1760025,10.600000095,9.880999757,0,12.40000057,1.70000005,8.60000019,9.993999862,0,13.60000038,0.40000001,808,3.05999994,0.0118,7.5999999,6.5,67,4405,0,152.62004089,2.83999991,0
"2017-01-17 02:29:55",56,5.21000004,58,3892,6.06999969,61,4060,0.1,22.390000209,5.09915980117647,5.47731117344538,3.71680675798319,1.7890756394958,1.92773111848739,176.616005390588,10.530000209,9.860999681,1.18907564697479,11.9495802789916,2.30672275277311,9.240000152,9.977999686,0.988235302605042,13.0806726313445,1.09327734151261,808,3.05999994,0.033700001,7.5999999,6.5,67,4307,11.290000342,109.126738283697,2.810999939,0.445378175210084
"2017-01-17 02:39:57",56,5.5,58,3966,5.90999985,61,4114,3.310000076,0.02,5.77000015516667,4.8275001995,3.7166667,1.988333345,1.728333355,255.81600952,10.630000209,9.863999748,2.91666671266667,10.47500019,3.88000012975,9.360000133,9.981999778,2.9225000065,11.71416698175,2.63666673183333,808,3.06999993,0.076700003,7.5999999,6.5999999,67,4308,5.95,148.215015537333,2.750999999,0
"2017-01-17 02:49:58",56,5.53999996,58,3961,5.81999969,61,3966,28.820000993,0,5.13250010766667,5.43166690575,3.715000035,1.77250000875,1.94250002625,255.81600952,10.470000171,9.869999791,2.94916669066667,10.3666669358333,3.94166683208333,9.620000266,9.995999716,2.90750002233333,11.6100002438333,2.69416672475,806,3.11999989,0.109600005,7.5999999,6.5999999,67,4203,0,152.61830139,2.826999923,0
"2017-01-17 02:59:55",56,5.51999998,58,3958,5.73000002,61,4276,0.1,2.7,5.38487409487395,5.22184897579832,3.72268910915966,1.85126051218487,1.87142859697479,255.81600952,10.45000038,9.868999767,2.94033617159664,10.0504202878151,4.20252114621849,9.540000247,10.001999854,2.89075630529412,11.3966388454622,2.77815130815126,807,3.12999988,0.089800005,7.5999999,6.5999999,67,4223,0,152.61830139,2.851999902,0
"2017-01-17 03:09:57",56,5.50999975,58,4137,5.67000008,61,4394,0.1,24.190000342,5.48500012508333,5.0808335455,3.73333337475,1.9000000145,1.83333336025,255.81600952,10.310000228,9.879999735,2.95250005691667,9.82500011083333,4.32083346025,9.240000247,10.000999927,2.90916667866667,11.6241669326667,2.68750006333333,807,3.13999987,0.143500005,7.5999999,6.5999999,67,4548,0,152.61830139,2.8589999,0
"2017-01-17 03:19:59",56,5.51999998,58,4372,5.55999994,61,4748,3.300000229,0,4.93500014091667,5.58833355816667,3.7158333675,1.71083334125,2.00500002625,255.81600952,10.30000019,9.873999787,2.90833336358333,10.3791670070833,3.92833350508333,8.990000152,10.010999869,2.83916667408333,11.78666687725,2.53750004158333,806,3.11999989,0.090100005,7.5999999,6.5999999,67,4411,0,152.61830139,2.8509999,0
"2017-01-17 03:29:56",56,5.54999971,58,4454,5.48000002,61,4545,29.770000954,0,5.80672281680672,4.76806739932773,3.72016810336134,2.00336135798319,1.71680674537815,254.15657286958,10.330000019,9.862999726,1.26638658638655,11.605882667479,2.68151268680672,9.310000133,9.992999839,1.07142857445378,12.9756305746218,1.18907565512605,805,3.05999994,0.049300002,7.5999999,6.5,67,4343,8.340000152,110.130912446387,2.82999992,0.425210095210084
"2017-01-17 03:39:58",56,5.46999979,58,4439,5.77999973,61,4643,0.1,0.01,5.28916679966667,5.17416684558333,3.73166670566667,1.84166667708333,1.85916669483333,251.32798767,10.640000152,9.865999699,2.9558334065,10.2883334869167,4.003333451,9.560000133,9.989999866,2.81999999841667,11.7108334853333,2.60916670816667,805,3.06999993,0.127700004,7.5999999,6.5,67,4240,5.920000076,145.744893327667,2.771999978,0
"2017-01-17 03:49:55",56,5.38999987,58,4174,5.80999994,61,4389,0.1,27.230000494,5.27647068882353,5.27058838537815,3.71596642058824,1.81848740420168,1.89747901638655,251.32798767,10.55000019,9.868999674,2.95210088537815,10.1159664440336,4.10168078529412,9.679999924,10.008999823,2.84537815016807,11.7453783013445,2.58907566067227,806,3.11999989,0.108100007,7.5999999,6.5,67,4182,0,152.59159851,2.833999916,0
"2017-01-17 03:59:56",56,5.30999994,58,4464,5.78999996,61,4132,3.220000114,0,5.75333345683333,4.8141668155,3.7175000325,1.9908333425,1.72666669,251.32798767,10.420000361,9.874999715,2.94083340566667,9.80416681708333,4.34916680458333,9.660000133,10.010999869,2.94333334483333,11.2350001963333,2.91833338775,805,3.08999991,0.143600007,7.5999999,6.5,67,4221,0,152.59159851,2.848999901,0
"2017-01-17 04:09:58",56,5.26999998,58,4399,5.78999996,61,4451,28.740000743,0,4.80250008075,5.5683334505,3.72166670741667,1.67833334458333,2.01250002908333,251.32798767,10.410000228,9.875999738,2.883333363,10.2816669928333,4.03416684258333,8.980000257,10.002999877,2.829999999,11.77333349325,2.55833336625,805,3.12999988,0.082900004,7.5999999,6.5,67,4642,0,152.59159851,2.8499999,0
"2017-01-17 04:19:56",56,5.1500001,58,4346,5.77999973,61,4707,0.1,0,5.58907574521008,4.91848750831933,3.71512608529412,1.94285715378151,1.77226893151261,251.32798767,10.090000152,9.871999647,2.92016814420168,10.1117648112605,4.0882354192437,9.530000114,10.00599985,2.90672270403361,11.6142859569748,2.71092442294118,806,3.0999999,0.134100007,7.5999999,6.5,67,4463,0,152.59159851,2.8499999,0
"2017-01-17 04:29:57",56,5.06999969,58,4696,5.81999969,61,4352,0.1,25.40000038,5.47083343625,5.05750010766667,3.71666670208333,1.89750001083333,1.81916669125,216.321590803,10.00000019,9.854999734,2.0466667045,10.72000009975,3.50416675441667,9.760000133,9.981999874,2.00416667375,12.1200002105833,2.03666670408333,805,3.07999992,0.103100006,7.5999999,6.5,67,4371,8.15000019,114.84240903575,2.830999919,0.391666670666667
"2017-01-17 04:39:55",55,5.26999998,58,4569,5.65999985,61,4487,0.1,0.01,5.03277318588235,5.43277319705882,3.72436977764706,1.76218487857143,1.96218489907563,143.61599731,10.199999905,9.868999768,0,12.40000057,1.70000005,9.689999962,9.998999785,0,13.8117649405882,0.189075630252101,805,3.05999994,0.0117,7.5999999,6.5999999,67,4337,5.920000076,144.093949837647,2.761999988,0
"2017-01-17 04:49:57",55,5.3499999,58,4602,5.65999985,61,4671,32.050000572,0,5.81833346633333,4.693333403,3.7141667025,2.01833334625,1.69583335625,143.61599731,10.160000038,9.876999761,0,12.40000057,1.70000005,9.790000152,10.011999796,0,13.8308336405,0.171666666666667,805,3.05999994,0.012,7.5999999,6.5999999,67,4228,0,152.56512451,2.831999918,0
"2017-01-17 04:59:59",55,5.32999992,58,4324,5.6500001,61,4300,0.1,0,5.0166667775,5.40416679333333,3.72000003625,1.74166667708333,1.94666669291667,143.61599731,10.189999962,9.878999616,-0.000833333333333333,12.40000057,1.70000005,9.80000019,10.010999965,0,13.825000285,0.174166666666667,805,3.05999994,0.0138,7.5999999,6.5999999,67,4285,0,152.56512451,2.8569999,0
"2017-01-17 05:09:55",55,5.31999969,58,4159,5.67000008,61,4289,0.1,23.750000475,5.42016819495798,5.07310934588235,3.73193280781513,1.88571429285714,1.84621851495798,143.61599731,10.230000019,9.870999625,0,12.40000057,1.70000005,9.520000171,10.019999884,0,13.8285717271429,0.173109243697479,804,3.05999994,0.013,7.5999999,6.5999999,67,4604,0,152.56512451,2.8589999,0
"2017-01-17 05:19:58",55,5.31999969,58,4299,5.63999987,61,4377,0.1,0,5.57166680441667,4.96416676008333,3.7158333675,1.92750001,1.7883333575,143.61599731,10.30000019,9.878999712,-0.00166666666666667,12.40000057,1.70000005,9.190000152,10.023999976,0,13.821666939,0.176666666666667,805,3.05999994,0.0133,7.5999999,6.5,67,4573,0,152.56512451,2.8509999,0
"2017-01-17 05:29:55",55,5.33999968,58,4210,5.61999989,61,4106,31.250000383,0.02,4.87142864168067,5.50672275453782,3.71680676218487,1.69243698823529,1.99327733655462,146.105139593109,10.320000171,9.861999704,0.836974799327731,12.182353442521,2.1117647707563,9.460000323,10.004999827,0.672268918823529,13.6100843321849,0.567226902352941,805,3.05999994,0.023400001,7.5999999,6.5,67,5893,5.5,116.457539241933,2.828999921,0.45966386394958
